Date,Solar,Rooftop_Solar,Solar_Estimated,Mini_Hydro_Telemetered,Mini_Hydro_Estimated,Biomass_Waste,Wind,Major_Hydro,Oil_IPP,Oil_CEB,Coal,Solar_Total,Mini_Hydro,Total_Generation,Sin_DayOfYear,Cos_DayOfYear,Sin_Month,Cos_Month,Sin_DayOfWeek,Cos_DayOfWeek,IsWeekend,TrendIndex,Roll7_Mean,Roll30_Mean,Roll90_Mean,Roll365_Mean,Roll30_Std,Monthly_Avg,YoY_Delta
2021-07-21,0.3,0.0,2.4164794007490635,1.7865168539325844,0.11580524344569289,0.2596875,3.06,18.4,6.55,3.92,11.11,2.7164794007490634,1.9023220973782773,47.91848899812734,-0.3271603271220951,-0.9449688462364056,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.0,1662.0,47.281104785313,45.309424449906366,44.216363705524344,40.87692529725258,3.7920359180995598,43.5851965890611,6.948488998127338
2021-07-22,0.29,0.0,2.4147191011235956,1.7847752808988764,0.11870786516853933,0.25953125,3.89,18.67,6.24,4.42,10.89,2.7047191011235956,1.9034831460674158,48.97773349719102,-0.34336687399638804,-0.939201357453208,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.0,1663.0,47.41649528491172,45.35368223314607,44.273560744382024,40.89715196436817,3.8278741310871234,43.5851965890611,7.382733497191019
2021-07-23,0.24,0.0,2.412958801498127,1.7830337078651686,0.12161048689138576,0.259375,3.86,14.07,2.83,3.67,11.45,2.6529588014981274,1.9046441947565542,40.69697799625469,-0.3594718130884232,-0.9331559438780432,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.0,1664.0,46.38749214151953,45.138581499687895,44.256971611007074,40.89297930134421,3.904003593148921,43.5851965890611,-1.5230220037453108
2021-07-24,0.24,0.0,2.411198501872659,1.7812921348314608,0.1245131086142322,0.25921875,3.74,16.8,1.91,3.48,11.44,2.651198501872659,1.905805243445693,42.186222495318354,-0.3754703786876202,-0.9268343944460494,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1.0,1665.0,45.91838106942215,45.293122249531834,44.29326297206617,40.895599089002616,3.6784997261190493,43.5851965890611,0.9562224953183573
2021-07-25,0.31,0.0,2.4094382022471907,1.779550561797753,0.12741573033707865,0.25906250000000003,3.64,15.57,0.0,3.15,11.44,2.719438202247191,1.9069662921348316,38.68546699438202,-0.3913578365610259,-0.9202385798054075,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1.0,1666.0,45.78487635433387,45.06397114934457,44.2924348275593,40.89284694378175,3.870418422770778,43.5851965890611,-1.0045330056179793
2021-07-26,0.3,0.0,2.4076779026217228,1.777808988764045,0.1303183520599251,0.25890625,3.51,17.69,3.69,3.03,11.22,2.7076779026217226,1.90812734082397,44.014711493445695,-0.4071294853542516,-0.9133704517637858,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.0,1667.0,44.4212637105404,45.046128199126095,44.26459828859758,40.9153530026679,3.874101687240642,43.5851965890611,8.214711493445698
2021-07-27,0.3,0.0,2.405917602996255,1.776067415730337,0.13322097378277153,0.25875000000000004,3.43,19.315,2.915,3.09,11.975000000000001,2.7059176029962546,1.9092883895131085,45.59895599250937,-0.4227806579826773,-0.9062320427107697,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.0,1668.0,44.01122249531835,45.2650933988764,44.240364466292135,40.923185758811755,3.7042598958734354,43.5851965890611,2.8589559925093653
2021-07-28,0.3,0.0,2.4041573033707864,1.7743258426966293,0.13612359550561798,0.25859375,3.35,20.94,2.14,3.15,12.73,2.704157303370786,1.9104494382022472,47.18320049157303,-0.4383067230125192,-0.898825465016444,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.0,1669.0,43.90618128009631,45.28986674859551,44.23740002730961,40.93461918481607,3.714858412121157,43.5851965890611,4.173200491573027
2021-07-29,0.35,0.0,2.4023970037453184,1.7725842696629215,0.13902621722846442,0.2584375,2.84,20.78,2.4,3.01,13.8,2.7523970037453185,1.911610486891386,47.752444990636704,-0.45370308603134424,-0.8911529104063088,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.0,1670.0,43.73114006487426,45.270614914950066,44.26809386053891,40.95152999300959,3.7000269340120804,43.5851965890611,6.172444990636706
2021-07-30,0.37,0.0,2.40063670411985,1.7708426966292135,0.14192883895131087,0.25828125,2.25,21.17,3.64,3.82,12.97,2.77063670411985,1.9127715355805244,48.791689489700374,-0.46896519100763184,-0.8832166493127127,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.0,1671.0,44.88752742108079,45.30717123127341,44.397668188202246,40.972548320378635,3.73010128480622,43.5851965890611,7.671689489700377
